summary_id,year,company_name,total_offers,ctc_lpa,raw_source_table
234,2021,Hitachi,1,4.5,company_2021
235,2021,Hiveminds,1,10,company_2021
236,2021,Impetus,7,4,company_2021
237,2021,Indiamart,17,5.5,company_2021
239,2021,Industrybuying,3,4,company_2021
240,2021,Info Edge,1,7.25,company_2021
241,2021,Infogain,6,3.75,company_2021
242,2021,Ion Group,8,12,company_2021
243,2021,Isgec,3,5.5,company_2021
244,2021,Itconvergence,1,3.5,company_2021
245,2021,Jaro,5,6.6,company_2021
246,2021,Jk Technosoft,4,3.5,company_2021
247,2021,Knocial India,65,4,company_2021
248,2021,Knoldus,1,6,company_2021
249,2021,Libsys,4,5,company_2021
250,2021,Lido,1,3.6,company_2021
251,2021,Mediology Software,1,4,company_2021
252,2021,Mindtree,2,6,company_2021
253,2021,Mobiloitte,1,2.5,company_2021
254,2021,Monster,12,6,company_2021
255,2021,Muvro Technologies,1,2.8,company_2021
256,2021,Nagarro,21,3.5,company_2021
257,2021,Neosoft,2,3.6,company_2021
258,2021,Neudesic,5,3.6,company_2021
259,2021,Newgen,11,4.25,company_2021
260,2021,Ns Matrix Services,1,2.5,company_2021
261,2021,Omnie Solutions,1,3.6,company_2021
262,2021,Paypal & Hp,2,5.5,company_2021
263,2021,Paytm,11,9,company_2021
265,2021,People Strong,7,3.5,company_2021
266,2021,Pheuture,1,3,company_2021
267,2021,Planetspark,1,7.6,company_2021
268,2021,Qtechglobal,2,2.5,company_2021
269,2021,Rapipay,5,6,company_2021
270,2021,Regalo Kitchen,1,2.5,company_2021
271,2021,Remotestate,1,5,company_2021
272,2021,Scaleup Alley Pvt Ltd,1,3,company_2021
273,2021,Shl,5,6.7,company_2021
275,2021,Sol,12,3.12,company_2021
276,2021,Sopra Steria,1,6,company_2021
277,2021,Soti India,1,6.5,company_2021
278,2021,Squareyards,1,2.5,company_2021
279,2021,Talentserve,18,12,company_2021
280,2021,TCS,75,3.5,company_2021
281,2021,Technologics,3,3.34,company_2021
282,2021,Tgpel,1,3,company_2021
283,2021,Torrent,2,3.75,company_2021
284,2021,Tothenew,1,4.5,company_2021
285,2021,Triconinfotech,1,5,company_2021
286,2021,Tsys,2,7.5,company_2021
287,2021,Ugam,1,3,company_2021
288,2021,Verzeo,1,3,company_2021
289,2021,Visudhaajivam,2,8,company_2021
290,2021,Wealthclinic,3,3,company_2021
291,2021,Wiley,6,11,company_2021
292,2021,Wipro,36,3.5,company_2021
293,2021,Wisteli,5,2.5,company_2021
294,2021,World Fashion,3,3.6,company_2021
295,2021,Zia Semiconductors,2,8,company_2021
296,2022,4pointer,1,2.5,company_2022
297,2022,Abhi Allied Services,1,5.3,company_2022
298,2022,Accenture,77,4.5,company_2022
299,2022,Acura,1,2.5,company_2022
300,2022,Acurasolution,1,3.2,company_2022
301,2022,Addverb,12,3,company_2022
302,2022,Adobe,1,10,company_2022
303,2022,Adsever,3,6,company_2022
304,2022,Airtel,1,15,company_2022
305,2022,Algodom Media,1,4.5,company_2022
306,2022,Aloha Tech,4,3,company_2022
307,2022,Amazon,1,45.25,company_2022
308,2022,Apponward,1,3,company_2022
309,2022,Aptara,2,3.6,company_2022
310,2022,Avissol,1,5.5,company_2022
311,2022,Axtria Analyst,9,24,company_2022
312,2022,Big Brick India,1,2.5,company_2022
313,2022,Bigoh,4,5,company_2022
314,2022,Biztecno,2,4.5,company_2022
315,2022,Bonami,2,4.5,company_2022
316,2022,Brand.Org,3,3.6,company_2022
317,2022,Bright Money,1,20,company_2022
318,2022,Brightly,1,6,company_2022
319,2022,Buddy 4 Study,2,3.6,company_2022
320,2022,Byjus,3,6,company_2022
321,2022,Byjus Gradeup,2,7,company_2022
322,2022,Careernet Hirepro,1,3,company_2022
323,2022,Cavission,7,4.5,company_2022
324,2022,Certy Box,6,3.6,company_2022
325,2022,Class Plus,1,8.5,company_2022
326,2022,Clear Water,2,4,company_2022
327,2022,Colt,1,3.6,company_2022
328,2022,Conduent,4,4.8,company_2022
329,2022,Continum Global,1,4,company_2022
330,2022,Cosmo,1,3.5,company_2022
331,2022,Csb Bank,1,3,company_2022
332,2022,Csg,3,4,company_2022
333,2022,Design O Web,1,4,company_2022
334,2022,Dmi Finance,2,6,company_2022
335,2022,Dollpa Pee,1,13,company_2022
336,2022,E2logy Software,1,2.5,company_2022
337,2022,Emerson,4,4.4,company_2022
338,2022,Epam,3,6,company_2022
339,2022,Espoir,13,4.08,company_2022
340,2022,Eta Engineering,8,3.23,company_2022
341,2022,Exiger,1,4.25,company_2022
342,2022,Ga Morgan,2,5,company_2022
343,2022,Gebr.Pfeiffer,1,5,company_2022
344,2022,Gkp,1,2.5,company_2022
345,2022,Global Logic,17,5.5,company_2022
346,2022,Go Digit,1,7,company_2022
347,2022,Gradeup,4,8,company_2022
348,2022,Gradeup Byjus,1,7,company_2022
349,2022,Grapecity,1,4,company_2022
350,2022,Hashedin Deloitte,3,8.1,company_2022
351,2022,Hcl,63,4.25,company_2022
352,2022,Headout,1,18,company_2022
353,2022,Hirepro,1,3,company_2022
354,2022,Honda,4,6,company_2022
355,2022,Icici,5,2.7,company_2022
356,2022,Iffco Tokio,3,8,company_2022
357,2022,Ifr Solutions,1,3,company_2022
358,2022,India Mart,18,7.5,company_2022
359,2022,India Today,4,7,company_2022
360,2022,India Today Group,1,5,company_2022
361,2022,Infoedge,2,7.5,company_2022
362,2022,Innoage,3,4,company_2022
363,2022,Innovaccer,1,12,company_2022
364,2022,Insta Astro,1,2.5,company_2022
365,2022,Ion,3,14.1,company_2022
366,2022,Ipec,1,6,company_2022
367,2022,Isgec,9,6.14,company_2022
368,2022,Itc,15,4.25,company_2022
369,2022,Jio,1,4,company_2022
370,2022,John Deere,1,4.5,company_2022
371,2022,Josh Tech,3,8,company_2022
372,2022,Jubliant,3,11,company_2022
373,2022,Juggernaut Ai,1,3.6,company_2022
374,2022,Juspay,2,21,company_2022
376,2022,Knocial,27,4.2,company_2022
377,2022,Kronos,10,15,company_2022
378,2022,Legato,7,5.87,company_2022
379,2022,Lever Ageedu,2,3.6,company_2022
380,2022,Lg Soft,5,4.8,company_2022
381,2022,Libsys,1,5,company_2022
382,2022,Line Financialmagic Ed Tech,1,12,company_2022
383,2022,Lucentmarcons,1,7.5,company_2022
384,2022,Madman,1,4.5,company_2022
385,2022,Magic Ed Tech,4,9,company_2022
386,2022,Magnitude Soft,1,8.6,company_2022
387,2022,Mount Talent,3,2.5,company_2022
388,2022,Nagarro,7,6,company_2022
389,2022,Navyug,8,6,company_2022
390,2022,Neosoft,3,3.6,company_2022
391,2022,Newgen,24,4.5,company_2022
392,2022,Next Venture Pentair,2,9.3,company_2022
393,2022,Nirmata Tech India,1,7.2,company_2022
394,2022,Park View,1,4,company_2022
395,2022,Paxcom,1,9,company_2022
396,2022,Paytail,6,11,company_2022
397,2022,Paytm,17,7,company_2022
398,2022,Persolkelly,1,4.8,company_2022
399,2022,Phronesis Partners,3,3.5,company_2022
400,2022,Practo,8,4.5,company_2022
401,2022,Priyam Tech,1,7,company_2022
402,2022,Procmart,8,3.5,company_2022
403,2022,Prodat It,1,57.32,company_2022
404,2022,Rachnaye,1,5,company_2022
405,2022,Rd Concrete,1,3.36,company_2022
406,2022,Revature,1,6,company_2022
407,2022,Roro,3,6,company_2022
409,2022,Rx Logix,11,4.5,company_2022
410,2022,S&B,3,4.5,company_2022
411,2022,Samsung,4,7.3,company_2022
412,2022,Sheryl Strategic Solutions,1,3,company_2022
413,2022,Skill Vertex,8,6,company_2022
414,2022,Sssg,5,11,company_2022
415,2022,Stem Robo,2,4,company_2022
416,2022,Step 2 Gen,1,3.6,company_2022
417,2022,Symb Tech,2,4,company_2022
418,2022,Tallent Serve,6,12,company_2022
419,2022,Tallent Toppers,1,4,company_2022
420,2022,TCS,5,3.3,company_2022
421,2022,Tcs Ninja,68,3.3,company_2022
422,2022,Tech Provider,9,3,company_2022
423,2022,Testbook Edu,1,7,company_2022
424,2022,Torrent Gas,1,3.25,company_2022
425,2022,Torrent Power,2,3.25,company_2022
426,2022,Traqiq,3,4.2,company_2022
427,2022,Travclan,1,7.25,company_2022
428,2022,Tsys,8,9.5,company_2022
429,2022,Unthinkable,14,5.5,company_2022
430,2022,Upgrad,14,7.5,company_2022
431,2022,Wfx,4,4,company_2022
432,2022,Wiley Mthree,4,7,company_2022
433,2022,Wipro,137,3.5,company_2022
434,2022,Zia Semiconductor,11,5,company_2022
435,2022,Zomato,1,40,company_2022
436,2023,Accenture,74,4.5,company_2023
437,2023,Accuratics Softwares,1,3,company_2023
438,2023,Addverb,2,6.37,company_2023
439,2023,Akash + Byjus,3,7,company_2023
440,2023,Aks It Services,18,4.5,company_2023
442,2023,Amazon,1,47,company_2023
441,2023,Amazon (Internship),2,13.2,company_2023
443,2023,Apco Infra Ltd,1,4.8,company_2023
444,2023,Appleute,1,18,company_2023
445,2023,Apquod,1,8,company_2023
446,2023,Aptitech Education,1,5,company_2023
447,2023,Artius Interior Products Pvt. Ltd.,1,3.01,company_2023
448,2023,Asa Industries,2,5,company_2023
449,2023,Avaada,1,5,company_2023
450,2023,Avlinq Solutions & Services Pvt Ltd.,1,3.5,company_2023
451,2023,Axeno Consulting Private Limited,4,4.5,company_2023
452,2023,Axismobi,1,4.5,company_2023
453,2023,Axtria Ingenious Insights,7,5,company_2023
454,2023,Baba Brick Field,1,1.8,company_2023
455,2023,Bennet Univ,1,3,company_2023
456,2023,Bhartiya Airways,10,4,company_2023
457,2023,Binmile,1,3.6,company_2023
458,2023,Bizz2credit,6,7.5,company_2023
459,2023,Blinkit,4,20,company_2023
460,2023,Bright Money,1,18.92,company_2023
461,2023,Bristlecone,4,4.75,company_2023
462,2023,By Ju'S,8,10,company_2023
463,2023,C2fo,2,33.8,company_2023
464,2023,Cadence,1,13,company_2023
465,2023,Ccc Digital India,1,6,company_2023
466,2023,Cetpa,1,5,company_2023
467,2023,Chaitanya,5,3,company_2023
468,2023,Cmr Green Technologies Ltd,1,4.5,company_2023
469,2023,Coforge,4,4.25,company_2023
470,2023,Comviva,2,3.75,company_2023
471,2023,Constems Ai System Pvt Ltd,1,5,company_2023
472,2023,Contify,1,3.6,company_2023
473,2023,Copper Connection Ltd.,1,3,company_2023
474,2023,Credencys Solutions Inc.,1,5.2,company_2023
475,2023,Crtd Technologies Pvt. Ltd.,49,10,company_2023
476,2023,Csc E-Governance India Ltd.,3,3.6,company_2023
477,2023,Csg India Pvt. Ltd,14,7.5,company_2023
478,2023,Cybix,1,3.5,company_2023
479,2023,Cyfuture,2,5,company_2023
480,2023,D S Power Corporation,1,7.2,company_2023
481,2023,Dive Engg,1,12,company_2023
482,2023,Dmi Finance,6,7.6,company_2023
483,2023,Egonzehnder,1,3.3,company_2023
484,2023,Ellipsol,1,5,company_2023
485,2023,Emecon,1,3,company_2023
486,2023,Emerson,9,4.86,company_2023
487,2023,Ericsson,8,3.75,company_2023
488,2023,Eta,16,3.46,company_2023
489,2023,Evertz India Pvt. Ltd,6,5.5,company_2023
490,2023,Exl Digital,8,5,company_2023
491,2023,F1studioz,1,8,company_2023
492,2023,Formulaic Engineers Pvt. Ltd.,1,3.5,company_2023
493,2023,Fynd,1,7,company_2023
494,2023,G.Bhaiyajii India,1,6,company_2023
495,2023,Ga Morgan,4,3,company_2023
496,2023,Geppert,2,3.6,company_2023
497,2023,Google,1,29,company_2023
498,2023,Graas,1,5.8,company_2023
499,2023,Greynodes,1,4,company_2023
500,2023,Hack Withinfy,1,8,company_2023
501,2023,Hashedin By Deloitte,9,8.1,company_2023
502,2023,Hcl,26,4.25,company_2023
503,2023,Hely International,1,4,company_2023
504,2023,Herody,1,4.5,company_2023
505,2023,Hexaware Technologies,21,4,company_2023
506,2023,Hike Education,4,5.58,company_2023
507,2023,Hostbooks,10,4,company_2023
508,2023,Huron,12,6.07,company_2023
509,2023,Ibm,10,4.5,company_2023
510,2023,Idemia,11,5,company_2023
511,2023,Ikargos,4,5.83,company_2023
512,2023,Infosys Hackwithinfy,1,8,company_2023
513,2023,Infra.Market,3,4,company_2023
514,2023,Inogus,1,3.5,company_2023
515,2023,Intellipaat,7,9,company_2023
516,2023,Inverted,5,3,company_2023
517,2023,Ion Group,3,14.1,company_2023
518,2023,Isgec,4,5,company_2023
519,2023,Jackson,23,5,company_2023
520,2023,Jaro Education,2,6.6,company_2023
521,2023,Jk Lakshmi Cement Ltd.,1,4.5,company_2023
522,2023,Jksleb,4,4,company_2023
523,2023,Josh Tech,3,18.1,company_2023
524,2023,Jp Morgan Chase,1,38.11,company_2023
525,2023,Jsw,15,6.5,company_2023
526,2023,Jubilant Foodworks,9,5,company_2023
527,2023,K International,1,7.25,company_2023
528,2023,Kazam,1,7,company_2023
529,2023,Kmg It,1,3.25,company_2023
530,2023,Knocial,21,10.2,company_2023
531,2023,Koi Reader Technologies Pvt. Ltd.,1,3,company_2023
532,2023,Lutron,2,3.98,company_2023
533,2023,M Carbon,1,6,company_2023
534,2023,M Tree,5,8,company_2023
535,2023,Magic Edtech,5,6,company_2023
536,2023,Mcarbon,1,5,company_2023
537,2023,Motherson-Sumi,2,3.12,company_2023
538,2023,Ms Cube Systems,1,5.4,company_2023
539,2023,Mspark Futuristics &Amp; Associates,2,3.2,company_2023
540,2023,Mtalkz,4,7,company_2023
